RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event,
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,4,ISLA,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,4,DAVID LUIZ,,G18',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,5,SILVA,,Y40',2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,5,FERNANDINHO,,O72',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,7,ALEXIS,,G32',2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,6,MARCELO,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,8,VIDAL,,O87',2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,7,HULK,,Y55',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,11,VARGAS,,O57',2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,9,FRED,,O64',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,17,MEDEL,,O108',2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,10,NEYMAR JR,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,18,JARA,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,11,OSCAR,,O106',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,20,CH. AR�NGUIZ,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,17,L GUSTAVO,,Y60',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),S,21,DIAZ,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,1,JEFFERSON,GK,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,12,TOSELLI,GK,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,22,VICTOR,GK,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,23,HERRERA,GK,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,8,PAULINHO,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,3,ALBORNOZ,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,13,DANTE,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,6,CARMONA,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,14,MAXWELL,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,9,PINILLA,,I87' Y102',2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,15,HENRIQUE,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,10,VALDIVIA,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,16,RAMIRES,,I72',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,13,ROJAS,,I108',2014
