Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,MatchID,Home Team Initials,Away Team Initials
1938,05 Jun 1938 - 17:00,First round,Stade V�lodrome,Italy,2,1,Norway,Italy win after extra time ,0,0,1179,ITA,NOR
1938,05 Jun 1938 - 17:30,First round,Stade de la Meinau,Brazil,6,5,Poland,Brazil win after extra time ,0,0,1150,BRA,POL
1938,05 Jun 1938 - 18:30,First round,Cavee Verte,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,0,0,1172,TCH,NED
1938,09 Jun 1938 - 18:00,First round,Stade Municipal,Cuba,2,1,Romania, ,0,1,1157,CUB,ROU
1938,09 Jun 1938 - 18:00,First round,Parc des Princes,Switzerland,4,2,Germany, ,1,2,1166,SUI,GER
1938,12 Jun 1938 - 17:00,Quarter-finals,Stade du Parc Lescure,Brazil,1,1,Czechoslovakia, ,0,0,1152,BRA,TCH
1938,12 Jun 1938 - 17:00,Quarter-finals,Victor Boucquey,Hungary,2,0,Switzerland, ,1,0,1175,HUN,SUI
1938,12 Jun 1938 - 17:00,Quarter-finals,Fort Carree,Sweden,8,0,Cuba, ,4,0,1158,SWE,CUB
1938,12 Jun 1938 - 17:00,Quarter-finals,Stade Olympique,Italy,3,1,France, ,1,1,1164,ITA,FRA
1938,14 Jun 1938 - 18:00,Quarter-finals,Stade du Parc Lescure,Brazil,2,1,Czechoslovakia, ,0,1,1153,BRA,TCH
1938,16 Jun 1938 - 18:00,Semi-finals,Parc des Princes,Hungary,5,1,Sweden, ,3,1,1176,HUN,SWE
1938,16 Jun 1938 - 18:00,Semi-finals,Stade V�lodrome,Italy,2,1,Brazil, ,0,0,1149,ITA,BRA
1938,19 Jun 1938 - 17:00,Match for third place,Stade du Parc Lescure,Brazil,4,2,Sweden, ,1,2,1151,BRA,SWE
1938,19 Jun 1938 - 17:00,Final,Stade Olympique,Italy,4,2,Hungary, ,3,1,1174,ITA,HUN
1950,24 Jun 1950 - 15:00,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Brazil,4,0,Mexico, ,1,0,1187,BRA,MEX
