Team Initials,Player Name
ITA,Bruno CHIZZO
ITA,Bruno CONTI
AUT,Bruno ENGELMEIER
ITA,Bruno MORA
AUT,Bruno PEZZEY
BEL,Bruno VERSAVEL
ENG,Bryan DOUGLAS
SCO,Bryan GUNN
ENG,Bryan ROBSON
NED,Bryan ROY
CRC,BRYCE
ZAI,Buanga TSHIMEN
RSA,BUCKLEY
USA,BUDDLE
PAR,Buenaventura FERREIRA
ITA,BUFFON
TUR,Buhran SARGUN
SVN,BULAJIC
TUR,Bulent EKEN
TUR,BULENT KORKMAZ  
SUI,BUNJAKU
ECU,BURBANO
ARG,BURDISSO
ARG,BURGOS
CRO,BUTINA
GER,BUTT
KOR,BYUN Byung Joo
SUI,B�RKI
MEX,C BLANCO
KOR,C G SONG
KOR,C S KIM
KOR,C S LEE
MEX,C SALCIDO
MEX,C VELA
KOR,C Y LEE
KOR,C Y PARK
ECU,C. BENITEZ
MEX,C. BLANCO
CHI,C. BRAVO
COL,C. CARBONERO
BRA,C. GERMANO
DEN,C. JENSEN
PRK,C. JONG HYOK
TOG,C. KADER-TOURE
PRK,C. KUM CHOL
ECU,C. LARA
ESP,C. MARCHENA
ECU,C. MORA
MEX,C. PE�A
DEN,C. POULSEN
ARG,C. RODRIGUEZ
MEX,C. SALCIDO
BRA,C. SAMPAIO
COL,C. SANCHEZ
URU,C. STUANI
MEX,C. SUAREZ
ECU,C. TENORIO
ESP,C. TORRES
COL,C. ZAPATA
COL,C. ZU�IGA
ESP,C.MARCHENA
POR,C.RONALDO
SUI,CABANAS
FRA,CABAYE
PAR,CABA�AS
BRA,CABECAO
FRA,CABELLA
COL,CABRERA
ANG,CABUNGULA
GER,CACAU
PAR,CACERES
ALG,CADAMURO
BRA,CAFU
AUS,CAHILL
ECU,CAICEDO
COL,CALERO
CRC,CALVO D.
ARG,CAMBIASSO
CRC,CAMBRONERO D.
USA,CAMERON
ITA,CAMORANESI
ITA,CAMORANESI 
ARG,CAMPAGNARO
ENG,CAMPBELL
CRC,CAMPBELL J.
MEX,CAMPOS
HON,CANALES
BRA,CANALLI
FRA,CANDELA
ITA,CANDREVA
POR,CANEIRA
ARG,CANIGGIA
PAR,CANIZA
ITA,CANNAVARO
ESP,CAPDEVILA
POR,CAPUCHO
PAR,CARDOZO
BRA,CARECA
CAN,Carl VALENTINE
ESP,Carles REXACH
ITA,Carlo ANCELOTTI
ITA,Carlo ANNOVAZZI
ITA,Carlo CERESOLI
ITA,Carlo GALLI
ITA,Carlo MATTREL
ITA,Carlo PAROLA
BRA,CARLOS
URU,Carlos AGUILERA
BRA,CARLOS ALBERTO
COL,Carlos APONTE
ARG,Carlos BABINGTON
MEX,Carlos BLANCO
URU,Carlos BORGES
BOL,Carlos BORJA
HON,Carlos CABELLERO
MEX,Carlos CALDERON DE LA BARCA
CHI,Carlos CAMPOS
MEX,Carlos CARUS
CHI,Carlos CASZELY
PER,Carlos CILLONIZ
CHI,Carlos CONTRERAS
URU,Carlos CORREA
MEX,Carlos DE LOS COBOS
COL,Carlos ESTRADA
MEX,Carlos GOMEZ
MEX,Carlos GONZALEZ
MEX,Carlos GUEVARA
MEX,Carlos HERMOSILLO
COL,Carlos HOYOS
CHI,Carlos IBANEZ
ESP,Carlos LAPETRA
POR,CARLOS MANUEL
MEX,Carlos MUNOZ
CUB,Carlos OLIVERA
PAR,Carlos PAREDES
ARG,Carlos PEUCELLE
SLV,Carlos RECINOS
CHI,Carlos REINOSO
URU,Carlos RIOLFO
CHI,Carlos RIVAS
ARG,Carlos ROA
CHI,Carlos ROJAS
URU,Carlos ROMERO
CHI,Carlos SCHNEBERGER
MEX,Carlos SEPTIEN
ARG,Carlos SPADARO
ARG,Carlos SQUEO
ARG,Carlos TAPIA
CHI,Carlos TEJAS
BOL,Carlos TRUCCO
COL,Carlos VALDERRAMA
CHI,Carlos VIDAL
ESP,CARMELO
ARG,Carmelo SIMEONE
CHI,CARMONA
RSA,CARNELL
AUS,CARNEY
BRA,CARPEGIANI
ENG,CARRAGHER
FRA,CARRASSO
ENG,CARRICK
IRL,CARSLEY
ENG,CARSON
POR,CARVALHO
BRA,CARVALHO LEITE
BRA,CASAGRANDE
PAR,Casiano CESPEDES
BOL,Casiano CHAVARRIA
ESP,CASILLAS
CHI,Casimiro TORRES
ITA,CASSANO
CHI,CASTA�EDA
BRA,CASTILHO
URU,CASTILLO
PAR,Castor CANTERO
CRC,CASTRO
ARG,CAVALLERO
URU,CAVANI
PAR,Cayetano CARRERAS SAGUEIR
PAR,Cayetano RE
PAR,CA�IZA
ESP,CA�IZARES
CZE,CECH
NED,Cees VAN IERSSEL
SVN,CEH A.
SVN,CEH N.
ESP,CELADES
FRA,Celestin DELMER
FRA,Celestin OLIVER
NGA,Celestine BABAYARO
HON,Celso GUITY
URU,Celso OTERO
CRC,CENTENO
CRC,CENTENO W.
ITA,CERCI
ESP,CESAR
PER,Cesar CUETO
CHI,Cesar ESPINOZA
HON,Cesar GUTIERREZ
PAR,Cesar LOPEZ FRETES
PAR,Cesar RAMIREZ
FRA,Cesar RUMINSKI
URU,Cesar VEGA
PAR,Cesar ZABALA
ITA,Cesare MALDINI
ESP,CESC
TCH,Cestmir PATZEL
TUR,Cetin ZEYBEK
ECU,CEVALLOS
CHN,CH L OU
CHN,CH Y WU
CHN,CH YANG
CHI,CH. AR�NGUIZ
KOR,CHA Bum Kun
ALG,Chaabane MERZEKANE
ESP,CHACHO
USA,Chad DEERING
BEL,CHADLI
ECU,CHALA
GRE,CHALKIAS
ENG,CHAMBERLAIN
ARG,CHAMOT
USA,CHANDLER
ALG,CHAOUCHI
GRE,CHARISTEAS
TRI,CHARLES
SUI,Charles CASALI
BEL,Charles GEERTS
BEL,Charles SIMONS
CMR,Charles TOUBE
BEL,Charles VANDEWOUWER
USA,Charlie COLOMBO
SCO,Charlie NICHOLAS
SUI,Charly ELSENER
HON,CHAVEZ
CMR,CHEDJOU
TUN,CHEDLI 
ESP,CHENDO
RUS,CHERCHESOV
USA,CHERUNDOLO
BRA,CHICAO
BRA,CHICO
NGA,Chidi NWANU
ITA,CHIELLINI
TUN,CHIKHAOUI 
PAR,CHILAVERT
FRA,CHIMBONDA
CRC,CHINCHILLA
USA,CHING
AUS,CHIPPERFIELD
PAR,CHIQUI ARCE
KOR,CHO Byung Duk
KOR,CHO Jin Ho
KOR,CHO Kwang Rae
KOR,CHO Min Kook
KOR,CHO Young Jeung
KOR,CHOI Chung Min
KOR,CHOI Dae Shik
KOR,CHOI In Young
KOR,CHOI Kang Hee
KOR,CHOI Moon Sik
KOR,CHOI S. Y.
KOR,CHOI Soon Ho
KOR,CHOI Y. I.
KOR,CHOI Y. S.
KOR,CHOI Yung Keun
GRE,CHOLEVAS
KOR,CHONGGUG
TUN,Choukri EL OUAER
CMR,CHOUPO - MOTING
CMR,CHOUPO-MOTING
USA,Chris HENDERSON
IRL,Chris MORRIS
NIR,Chris NICHOLL
ENG,Chris WADDLE
ENG,Chris WOODS
FRA,CHRISTANVAL
SCO,Christian DAILLY
FRA,Christian DALGER
ROU,Christian DULCA
FRA,Christian KAREMBEU
AUT,Christian KEGLEVITS
FRA,Christian LOPEZ
BEL,Christian PIOT
ITA,Christian VIERI
GER,Christian ZIEGE
DEN,CHRISTIANSEN
NZL,CHRISTIE
FRA,Christophe DUGARRY
SUI,Christophe OHREL
JAM,Christopher DAWES
IRL,Christopher HUGHTON
USA,Christopher SULLIVAN
GRE,Christos KARKAMANIS
KOR,CHU Yung Kwang
RUS,CHUGAYNOV
KOR,CHUNG Hae Won
KOR,CHUNG Jong Son
KOR,CHUNG Jong Soo
KOR,CHUNG Nam Sik
KOR,CHUNG Yong Hwan
KOR,CHUNGYONG
KOR,CHUNSOO
KOR,CHUYOUNG
UKR,CHYGRYNSKYY
BRA,CICINHO
ESP,CILAURREN
NED,CILLESSEN
BEL,CIMAN
SVN,CIMIROTIC
ESP,CIRIACO
SUI,Ciriaco SFORZA
ITA,Ciro FERRARA
SEN,CISSE
SEN,CISSOKHO
SWE,Claes CRONQVIST
NZL,CLAPHAM
NED,Clarence SEEDORF
USA,CLARK
HON,CLAROS
NED,CLASIE
FRA,Claude ABBES
HAI,Claude BARTHELEMY
FRA,Claude PAPI
ARG,Claudio BORGHI
ARG,Claudio CANIGGIA
ITA,Claudio GENTILE
CRC,Claudio JARA
PAR,Claudio LEZCANO
ARG,Claudio LOPEZ
USA,Claudio REYNA
ITA,Claudio SALA
MEX,Claudio SUAREZ
TUN,CLAYTON
USA,Cle KOOIMAN
FRA,CLICHY
WAL,Cliff JONES
BRA,CLODOALDO
USA,Cobi JONES
ITA,COCO
NED,COCU
WAL,Colin BAKER
ENG,Colin BELL
SCO,Colin CALDERWOOD
NIR,Colin CLARKE
AUS,Colin CURRAN
SCO,Colin HENDRY
ENG,Colin MC DONALD
CAN,Colin MILLER
WAL,Colin WEBSTER
ARG,COLOCCINI
SUI,COLTORTI
SEN,COLY
ITA,Comunardo NICCOLAI
URU,Conduelo PIRIZ
IRL,CONNOLLY
SWE,Conny TORSTENSSON
USA,CONRAD
BEL,Constant HUYSMANS
ROU,Constantin GALCA
ROU,Constantin STANCIU
ESP,CONTRERAS
USA,CONVEY
CRC,CORDERO
COL,CORDOBA
CRO,CORLUKA
BEL,Corneel SEYS
CHI,CORNEJO
ROU,Cornel DINU
ROU,Corneliu PAPURA
ROU,Corneliu ROBE
TUR,Coskun TAS
ITA,COSTACURTA
BEL,Costant JOACIM
ARG,Costantino URBIETA SOSA
POR,COSTINHA
HON,COSTLY
FRA,COUPET
BEL,COURTOIS
BRA,COUTINHO
AUS,COVIC
TRI,COX
SCO,Craig BURLEY
SCO,Craig LEVEIN
MEX,Crescencio GUTIERREZ
ARG,CRESPO
BRA,CRIS
ESP,CRISANTO BOSCH
ITA,CRISCITO
MEX,Cristobal ORTEGA
ENG,CROUCH
ARG,CRUZ
COL,CUADRADO
CRC,CUBERO J.
PAR,CUEVAS
ARG,CUFRE
AUS,CULINA
IRL,CUNNINGHAM
SWE,Curt BERGSTEN
CMR,Cyrille MAKANAKY
FRA,Czeslaw POVOLNY
PAR,C�CERES
KOR,D R CHA
KOR,D S HA
KOR,D W JI
BRA,D. ALVES
ITA,D. BAGGIO
PAR,D. BARRETO
GHA,D. BOATENG
POR,D. FERNANDES
URU,D. FORLAN
URU,D. GODIN
RUS,D. KOMBAROV
ECU,D. LANZA
URU,D. LUGANO
ARG,D. MILITO
GHA,D. OPARE
URU,D. PEREZ
MEX,D. REYES
ESP,D. TRISTAN
URU,D.FORLAN
URU,D.RODRIGUEZ
URU,D.SILVA
PAR,DA SILVA
PAR,DA SILVA 
NED,Daaf DROK
SVN,DABANOVIC
RUS,DAEV
SEN,DAF
URU,Dagoberto FONTES
CAN,Dale MITCHELL
POR,DAMAS
ROU,Dan COE
NOR,Dan EGGEN
ROU,Dan PETRESCU
ESP,DANI
BRA,DANI ALVES
ISR,Dani SHMULEVICH ROM
NGA,Daniel AMOKACHI
ARG,Daniel BERTONI
BUL,Daniel BORIMIROV
ARG,Daniel CARNEVALI
URU,Daniel FONSECA
ARG,Daniel KILLER
ARG,Daniel PASSARELLA
ROU,Daniel PRODAN
ROU,Daniel TIMOFTE
BEL,Daniel VEYT
FRA,Daniel XUEREB
ITA,Daniele MASSARO
BRA,DANILO ALVIM
YUG,Danilo POPIVODA
POR,DANNY
NIR,Danny BLANCHFLOWER
NED,Danny BLIND
BEL,Danny BOFFIN
SCO,Danny McGRAIN
PAR,DANTE
ROU,Danut LUPU
BEL,Dany VERLINDEN
BRA,DARIO
PAR,Dario JARA SAGUIER
BOL,Dario ROJAS
PAR,Dario SEGOVIA
CRO,Dario SIMIC
POL,Dariusz DZIEKANOWSKI
POL,Dariusz KUBICKI
YUG,Darko KOVACEVIC
YUG,Darko PANCEV
ITA,DARMIAN
ENG,Darren ANDERTON
SCO,Darren JACKSON
JAM,Darryl POWELL
GHA,DAUDA
IRN,DAVARI
ENG,Dave BEASANT
NZL,Dave BRIGHT
AUS,Dave HARDING
SCO,Dave MACKAY
ARG,David ACEVEDO
ENG,David BATTY
ENG,David BECKHAM
WAL,David BOWEN
HON,David BUESO
SLV,David CABRERA
NIR,David CAMPBELL
SCO,David COOPER
SUI,DAVID DEGEN
CMR,David EMBE
SCO,David HARVEY
ISR,David KARAKO
IRL,David KELLY
BRA,DAVID LUIZ
NIR,David McCREERY
SCO,David McPHERSON
SCO,David NAREY
CAN,David NORMAN
RSA,David NYATHI
IRL,David O LEARY
ENG,David PLATT
ISR,David PRIMO
SCO,David PROVAN
USA,David REGIS
ENG,David SEAMAN
FRA,David TREZEGUET
USA,David VANOLE
ESP,DAVID VILLA
SCO,David WEIR
RSA,DAVIDS
AUS,DAVIDSON
SCO,Davie HAY
SCO,Davie MATHERS
USA,DAVIS
YUG,Davor JOZIC
YUG,Davor SUKER
ENG,DAWSON
COL,DE AVILA
BEL,DE BOECK
BEL,DE BRUYNE
NED,DE CLER
ESP,DE GEA
NED,de GOEIJ
NED,DE GUZMAN
NED,DE JONG
ECU,DE LA CRUZ
ESP,DE PEDRO
ITA,DE ROSSI
ITA,DE ROSSI 
ITA,DE SANCTIS
ITA,DE SCIGLIO
BRA,DE SORDI
BEL,DE VLIEGER
NED,DE VRIJ
NED,DE ZEEUW
JAM,Dean SEWELL
FRA,DEBUCHY
POR,DECO
SVN,DEDI?
BEL,DEFLANDRE
ENG,DEFOE
BEL,DEFOUR
IRN,DEJAGAH
YUG,Dejan GOVEDARICA
YUG,Dejan SAVICEVIC
YUG,Dejan STANKOVIC
ITA,DEL PIERO
PAR,Delfin BENITEZ CACERES
ECU,DELGADO
COL,Delio GAMBOA
RSA,Delron BUCKLEY
ITA,DELVECCHIO
BEL,DEMBELE
CIV,DEMEL
USA,DEMERIT
ITA,Demetrio ALBERTINI
PER,Demetrio NEYRA
ARG,DEMICHELIS
USA,DEMPSEY
BRA,DENILSON
PAR,Denis CANIZA
BEL,Denis HOUF
IRL,Denis IRWIN
SCO,Denis LAW
URU,Denis MILAR
RUS,DENISOV
NED,Dennis BERGKAMP
ENG,Dennis WILSHAW
JAM,Deon BURTON
BRA,DEQUINHA
SUI,DERDIYOK
NIR,Derek DOUGAN
SCO,Derek JOHNSTONE
ENG,Derek KEVAN
WAL,Derek SULLIVAN
SCO,Derek WHYTE
ENG,Des WALKER
FRA,DESAILLY
BEL,Desire BOURGEOIS
USA,Desmond ARMSTRONG
HUN,Dezso BUNDZSAK
HUN,Dezso MOLNAR
FRA,DHORASOO
ITA,DI BIAGIO
ITA,DI LIVIO
ARG,DI MARIA
ITA,DI NATALE
FRA,DIABY
SEN,DIALLO
POR,DIAMANTINO
SEN,DIAO
FRA,DIARRA
SEN,DIATTA
CHI,DIAZ
CRC,DIAZ J.
NED,Dick BEEN
NED,Dick NANNINGA
BRA,DIDA
BRA,DIDI
GER,Didi HAMANN
FRA,Didier COUECOU
FRA,Didier DESCHAMPS
FRA,Didier SIX
CRO,DIDULICA 
ESP,DIEGO COSTA
PAR,Diego FLORENTIN
ARG,Diego MARADONA
ARG,Diego SIMEONE
FRG,Dieter BURDENSKI
FRG,Dieter HERZOG
FRG,Dieter HOENESS
FRG,Dieter MUELLER
AUT,Dietmar KUEHBAUER
FRA,DIGNE
RSA,DIKGACOI
BUL,Dimitar DIMOV
BUL,Dimitar KOSTOV
BUL,Dimitar LARGOV
BUL,Dimitar MARASHLIEV
BUL,Dimitar PENEV
BUL,Dimitar YAKIMOV
RUS,Dimitri GALIAMIN
GRE,Dimitrios SARAVAKOS
TUR,Dincer MEHMET
CIV,DINDANE
BUL,Dinko DERMENDZHIEV
BRA,DINO SANI
ITA,Dino ZOFF
PAR,Diogenes DOMINGUEZ
BOL,Diogenes LARA
CIV,DIOMANDE
MEX,Dionisio MEJIA
YUG,Dionizije DVORNIC
SEN,DIOUF
BRA,DIRCEU
BEL,Dirk MEDVED
NED,Dirk SCHOENAKER
USA,DISKERUD
FRG,Ditmar JAKOBS
ALG,DJABOU
CIV,DJAKPA
BRA,DJALMA SANTOS
ALG,Djamel MENAD
ALG,Djamel TLEMCANI
ALG,Djamel ZIDANE
ALG,DJEBBOUR
CMR,DJEMBA
CMR,DJEUGOUE
YUG,Djordje VUJADINOVIC
FRA,DJORKAEFF
SUI,DJOUROU
RUS,Dmitri KHARIN
RUS,Dmitri KHLESTOV
RUS,Dmitri KUZNETSOV
RUS,Dmitri POPOV
RUS,Dmitri RADCHENKO
BUL,Dobromir JECHEV
YUG,Dobrosav KRSTIC
BRA,DOCA
RSA,Doctor KHUMALO
KOR,DOHEON
JPN,DOI
KSA,DOKHI
KSA,DOKHY
HON,Domingo DRUMMOND
PER,Domingo GARCIA
URU,Domingo PEREZ
URU,Domingo TEJERA
BRA,DOMINGOS DA GUIA
ECU,DOMINGUEZ
FRA,Dominique BARATELLI
FRA,Dominique BATHENAY
FRA,Dominique COLONNA
FRA,Dominique DROPSY
SUI,Dominique HERR
FRA,Dominique ROCHETEAU
CIV,DOMORAUD
ENG,Don HOWE
SCO,Don MASSON
SCO,Donald FORD
KOR,DONGGOOK
KOR,DONGJIN
ITA,DONI
USA,DONOVAN
JAM,Donovan RICKETTS
USA,DOOLEY
ROU,Dorin MATEUT
ROU,Dorinel MUNTEANU
BRA,DORIVA
INH,DORST
TUN,DOS SANTOS
PAR,DOS SANTOS 
TOG,DOSSEVI
SCO,Doug COWIE
AUS,Doug UTJESENOVIC
CIV,DOUMBIA
ENG,DOWNING
YUG,Dragan DZAJIC
YUG,Dragan MIHAJLOVIC
YUG,Dragan PANTELIC
YUG,Dragan STOJKOVIC
YUG,Dragan TOSIC
YUG,Dragoje LEKOVIC
YUG,Dragoljub BRNOVIC
YUG,Dragoslav SEKULARAC
YUG,Dragutin NAJDANOVIC
SCG,DRAGUTINOVIC
GHA,DRAMAN
GER,DRAXLER
YUG,Drazen JERKOVIC
CRO,Drazen LADIC
YUG,Drazen MUZINIC
MAR,Driss BAMOUS
MAR,Driss BEN ZEKRI
MAR,Driss KANOUSSI
SUI,DRMIC
CIV,DROGBA
CRC,DRUMMOND
CRC,DRUMMOND J.
CRC,DUARTE O.
BOL,Duberty ARAOZ
POR,DUDA
POL,DUDEK
SCG,DUDIC
POL,DUDKA
IRL,DUFF
FRA,DUGARRY
MEX,Duilio DAVINO
SCG,DULJAJ
ROU,DUMITRESCU
ROU,Dumitru PAVLOVICI
ROU,Dumitru STANGACIU
NZL,Duncan COLE
BRA,DUNGA
IRL,DUNNE
KOR,DURI
SVK,DURICA
SCO,DURIE
GER,DURM
JAM,Durrent BROWN
YUG,Dusan BAJEVIC
ENG,DYER
RUS,DZAGOEV
SUI,DZEMAILI
BIH,D�EKO
SVN,D�INI?
MEX,E JUAREZ
KOR,E S CHOI
KOR,E Y LEE
GHA,E. ADDO
URU,E. AREVALO RIOS
PAR,E. BARRETO
URU,E. CAVANI
ECU,E. MENDEZ
ECU,E. TENORIO
ECU,E. VALENCIA
ECU,E. VILLAFUERTE
BEL,E.HAZARD
IRN,E.MIRZAPOUR
SCO,Eamonn BANNON
USA,Earnie STEWART
DEN,Ebbe SAND
CHI,Eberardo VILLALOBOS
GDR,Eberhard VOGEL
CIV,EBOUE
CIV,EBOUE 
IRN,Ebrahim KASSEMPOOR
ESP,ECHEBERRIA
NGA,ECHIEJILE
USA,Ed CZERKIEWICZ
USA,Ed McILVENNY
USA,Ed SOUZA
ENG,Eddie BAILY
ENG,Eddie CLAMP
ENG,Eddie HOPKINSON
IRL,Eddie McGOLDRICK
USA,Eddie POPE
SCO,Eddie TURNBULL
HAI,Eddy ANTOINE
NED,Eddy TREIJTEL
PAR,Edelmiro AREVALO
BRA,EDER
BRA,EDEVALDO
PAR,Edgar AGUILERA
NED,Edgar DAVIDS
ARG,Edgardo BAUZA
URU,Edgardo GONZALEZ
YUG,Edhem SLJIVO
BRA,EDILSON
BRA,EDINHO
BRA,EDIVALDO
SWE,EDMAN
BRA,EDMILSON
FRA,Edmond BARAFFE
FRA,Edmond DELFOUR
CMR,Edmond ENOKA
SUI,Edmond LOICHOT
GER,Edmund CONEN
POL,Edmund GIEMSA
POL,Edmund TWORZ
BRA,EDMUNDO
ARG,Edmundo PIAGGIO
BRA,EDSON
BRA,EDU
URS,Eduard DUBINSKI
AUT,Eduard KRIEGER
URS,Eduard MALOFEYEV
URS,Eduard MARKAROV
POR,EDUARDO
URU,Eduardo ACEVEDO
PER,Eduardo ASTENGO
CHI,Eduardo BONVALLET
MEX,Eduardo ESPINOZA
BOL,Eduardo GUTIERREZ
HON,Eduardo LAING
PER,Eduardo MALASQUEZ
COL,Eduardo NINO
URU,Eduardo PEREIRA
MEX,Eduardo RAMOS
BOL,Eduardo REYES ORTIZ
POL,Edward MADEJSKI
TRI,EDWARDS
NED,Edwin VAN DER SAR
NGA,Efan EKOKU
MEX,Efrain AMEZCUA
COL,Efrain SANCHEZ
SUI,EGGIMANN
ITA,Egisto PANDOLFINI
SWE,Egon JONSSON
NGA,EGUAVOEN
URU,EGUREN
NGA,EGWUEKWE
FRG,Eike IMMEL
UAE,EISSA MEER
JPN,Eisuke NAKANISHI
SWE,Eivar WIDLUND
NGA,EJIDE
NGA,EJIOFOR
MAR,EL HADRIOUI
ESP,ELADIO
PER,Eladio REYES
CHI,Eladio ROJAS
BRA,ELANO
ISR,Eli BEN RIMOZ
NED,ELIA
GRE,Elias ATMATZIDIS
CHI,Elias FIGUEROA
MEX,Elias MUNOZ
PAR,Eligio Antonio INSFRAN
PAR,Eligio ECHAGUE
PAR,Elioro PAREDES
URU,Eliseo ALVAREZ
PAR,Eliseo INSFRAN
ARG,Eliseo MOURINO
ARG,Eliseo PRADO
URU,Eliseo RIVERO
NZL,ELLIOTT
SWE,ELMANDER
SLV,Elmer Angel ACEVEDO
ESP,ELOY
PER,Eloy CAMPOS
BRA,ELY DO AMPARO
SUI,Ely TACCHELLA
BRA,ELZO
CMR,EMANA
NGA,Emeka EZEUGO
NGA,EMENIKE
ROU,Emerich DEMBROVSCHI
ROU,Emerich VOGL
BRA,EMERSON
AUS,EMERTON
BUL,Emil KOSTADINOV
BUL,Emil KREMENLIEV
TCH,Emil PAZICKY
ROU,Emil SANDOI
CMR,Emile MBOUH
BEL,Emile STIJNEN
FRA,Emile VEINANTE
HON,EMILIO
URU,Emilio ALVAREZ
ESP,Emilio BUTRAGUENO
ITA,Emilio CAPRILE
URU,Emilio RECOBA
ENG,Emlyn HUGHES
NGA,Emmanuel AMUNEKE
CMR,Emmanuel KUNDE
CMR,Emmanuel MABOANG
FRA,Emmanuel PETIT
HAI,Emmanuel SANON
TUR,EMRE
TUR,EMRE ASIK
CHN,EN H ZHANG
PAR,ENCISO
JPN,ENDO
DEN,ENEVOLDSEN
FRG,Engelbert KRAUS
BEL,ENGLEBERT
CMR,ENOH
ITA,Enrico ALBERTOSI
ITA,Enrico CHIESA
PAR,Enrique AVALOS
URU,Enrique BALLESTRERO
MEX,Enrique BORJA
ARG,Enrique CHAZARRETA
ARG,Enrique CHIMENTO
ESP,Enrique COLLAR
ITA,Enrique GUAITA
MEX,Enrique LOPEZ ZARZA
ESP,Enrique SAURA
MEX,Enrique SESMA
ARG,Enrique WOLFF
YUG,Enver HADZIABDIC
YUG,Enver MARIC
NGA,ENYEAMA
CHI,Enzo ESCOBAR
URU,Enzo FRANCESCOLI
ITA,Enzo ROBOTTI
BEL,Enzo SCIFO
ARG,Enzo TROSSERO
CMR,EPALLE
CMR,Ephrem MBOM
ITA,Eraldo MONZEGLIO
ITA,Eraldo PECCI
TOG,ERASSA
ECU,ERAZO
TUR,Erdem NACI
SCG,ERGIC
TUR,ERGUN
SCO,Eric CALDOW
BEL,Eric DEFLANDRE
USA,Eric EICHMANN
BEL,Eric GERETS
BEL,Eric VAN MEIR
USA,Eric WYNALDA
FRG,Erich BEER
GDR,Erich HAMANN
FRG,Erich JUSKOWIAK
AUT,Erich OBERMAYER
AUT,Erich PROBST
SCO,Erich SCHAEDLER
SWE,Erik ALMGREN
SWE,Erik GRANATH
NOR,Erik HOFTUN
NOR,Erik MYKLAND
SWE,Erik NILSSON
SWE,Erik PERSSON
NOR,Erik THORSTVEDT
DEN,ERIKSEN
NOR,Erland JOHNSEN
ITA,Ermes MUCCINELLI
ARG,Ermindo ONEGA
CMR,Ernest EBONGUE
GER,Ernest LEHNER
FRA,Ernest LIBERATI
FRA,Ernest SCHULTZ
POL,Ernest WILIMOWSKI
POR,ERNESTO
ARG,Ernesto ALBARRACIN
SLV,Ernesto APARICIO
ARG,Ernesto BELIS
CHI,Ernesto CHAPARRO
MEX,Ernesto CISNEROS
PER,Ernesto LABARTHE
URU,Ernesto MASCHERONI
URU,Ernesto VIDAL
NED,Ernie BRANDTS
AUS,Ernie CAMPBELL
SCO,Ernie COPLAND
HUN,Erno SOLYMOSI
AUT,Ernst AIGNER
GER,Ernst ALBRECHT
SWE,Ernst ANDERSSON
AUT,Ernst BAUMEISTER
SUI,Ernst FRICK
AUT,Ernst HAPPEL
SUI,Ernst HUFSCHMID
HAI,Ernst JEAN-JOSEPH
AUT,Ernst KOZLICEK
SUI,Ernst LOERTSCHER
AUT,Ernst OCWIRK
AUT,Ernst STOJASPAL
TUR,Erol KESKIN
YUG,Ervin KATNIC
SUI,Erwin BALLABIO
AUT,Erwin FUCHSBICHLER
SUI,Erwin HOCHSTRASSER
NED,Erwin KOEMAN
POL,Erwin NYC
BOL,Erwin SANCHEZ
BEL,Erwin VAN DEN DAELE
BEL,Erwin VANDENBERGH
HON,ESCOBER
RUS,ESHCHENKO
NOR,Espen BAARDSEN
ECU,ESPINOZA
TUN,ESSEDIRI 
GHA,ESSIEN
ESP,Estanislao BASORA
COL,ESTRADA
CMR,ETAM�
FRA,Etienne MATTLER
CMR,ETO'O
CMR,ETOO
NGA,ETUHU
ESP,ETXEBERR�A
PAR,Eufemio CABRAL
SUI,Eugen MEIER
SUI,Eugen RUPF
SUI,Eugen WALASCHEK
CMR,Eugene EKEKE
SUI,Eugene PARLIER
SUI,Eugenio CORRODI
ESP,Eugenio LEAL
ESP,Eulogio MARTINEZ
KOR,EULYONG
POR,EUSEBIO (Eusebio da Silva Ferreira)
PER,Eusebio ACASUZO
PAR,Eusebio DIAZ
COL,Eusebio ESCOBAR
URU,Eusebio TEJERA
PAR,Eustaquio CHAMORRO
PAR,Evaristo ISASI
BRA,EVERALDO
URS,Evgeni LOVCHEV
BUL,Evgeni YANCHOVSKI
FRA,EVRA
POL,Ewald CEBULA
POL,Ewald DYTKO
CMR,EYONG
ITA,Ezio PASCUTTI
MEX,F RODRIGUEZ
KSA,F. AL-MEHALLEL
KSA,F. AMIN
ECU,F. BORJA
POR,F. COENTR�O
POR,F. COUTO
NED,F. de BOER
ARG,F. FERNANDEZ
MEX,F. FONSECA
MEX,F. GABRIEL
MEX,F. J. RODRIGUEZ
URU,F. MUSLERA
MEX,F. PALENCIA
MEX,F. RODRIGUEZ
ECU,F. SARITAMA
ESP,F. TORRES
URU,F.CARINI
URU,F.ELDUAYEN
URU,F.MAGALLANES
POR,F.MEIRA
URU,F.O NEIL
IRN,F.ZANDI
ARG,Fabian CANCELARICH
CHI,Fabian ESTAY
POL,FABIANSKI
FRA,Fabien BARTHEZ
ITA,Fabio CANNAVARO
ITA,Fabio CAPELLO
ESP,FABREGAS
ITA,Fabrizio POLETTI
MAR,Fadel JILAL
ALG,Fadil MEGHARIA
CIV,FAE
UAE,FAHAD ABDULRAHMAN
KSA,Fahad AL BISHI
KSA,Fahad AL GHESHEYAN
KSA,Fahad AL MEHALEL
UAE,FAHAD KHAMEES
YUG,Fahrudin JUSUFI
YUG,Fahrudin OMEROVIC
KUW,Faisal AL DAKHIL
